sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
3,5,1.8358,12280,13.0139,158.489319,doc,1cm,7124.59,6804.07,-2421.16,0_0
3,5,1.7516,12280,14.4767,251.188643,doc,1cm,6621.61,6290.0,-2420.33,0_0
3,5,1.5867,12280,16.5066,398.107171,doc,1cm,5708.46,5404.98,-2249.62,0_0
3,5,1.4781,12280,19.9269,630.957344,doc,1cm,5153.77,4810.43,-2327.63,0_0
3,5,1.3443,12280,24.4806,1000,doc,1cm,4515.69,4141.05,-2347.09,0_0
3,5,1.1817,12280,29.8392,1584.89319,doc,1cm,3800.45,3431.51,-2235.95,0_0
3,5,0.9987,12280,35.4242,2511.88643,doc,1cm,3065.01,2747.53,-1990.17,0_0
3,5,0.8138,12280,40.652,3981.07171,doc,1cm,2387.24,2146.48,-1670.34,0_0
3,5,0.6414,12280,45.076,6309.57344,doc,1cm,1807.09,1643.82,-1335.32,0_0
3,5,0.4961,12280,48.4803,10000,doc,1cm,1352.63,1249.45,-1038.67,0_0
3,5,0.377,12280,50.8055,15848.9319,doc,1cm,1001.42,940.25,-788.22,0_0
3,5,0.2834,12280,52.159,25118.8643,doc,1cm,737.85,703.13,-588.72,0_0
3,5,0.2123,12280,52.3584,39810.7171,doc,1cm,544.53,525.51,-434.63,0_0
3,5,0.1588,12280,51.2644,63095.7344,doc,1cm,402.81,392.79,-316.49,0_0
3,5,0.1204,12280,48.8106,100000,doc,1cm,303.0,297.82,-229.68,0_0
3,5,0.0928,12280,45.2981,158489.319,doc,1cm,232.23,229.58,-166.28,0_0
3,5,0.0824,12280,43.1732,200000,doc,1cm,205.77,203.87,-141.84,0_0
3,5,0.0834,12280,30.4124,20,ngang,1cm,208.3,207.31,-106.73,0_0
3,5,0.293,12280,29.9327,25.1188643,ngang,1cm,764.4,751.12,-398.14,0_0
3,5,1.4927,12280,28.2688,39.8107171,ngang,1cm,5226.34,4565.35,-3082.58,0_0
3,5,1.0663,12280,26.379,63.0957344,ngang,1cm,3328.71,3105.74,-1754.02,0_0
3,5,1.1883,12280,23.3546,100,ngang,1cm,3828.3,3587.76,-1865.71,0_0
3,5,1.0811,12280,21.3265,158.489319,ngang,1cm,3387.66,3231.79,-1499.62,0_0
3,5,0.996,12280,20.1781,251.188643,ngang,1cm,3054.67,2942.4,-1267.45,0_0
3,5,0.9237,12280,19.8775,398.107171,ngang,1cm,2782.68,2693.41,-1123.33,0_0
3,5,0.8584,12280,20.7811,630.957344,ngang,1cm,2545.19,2464.88,-1055.82,0_0
3,5,0.7851,12280,22.9009,1000,ngang,1cm,2287.37,2210.31,-1020.36,0_0
3,5,0.7059,12280,26.1912,1584.89319,ngang,1cm,2018.69,1942.27,-998.22,0_0
3,5,0.6084,12280,30.1102,2511.88643,ngang,1cm,1701.24,1631.7,-932.01,0_0
3,5,0.5155,12280,34.494,3981.07171,ngang,1cm,1411.6,1350.65,-852.88,0_0
3,5,0.4232,12280,38.4117,6309.57344,ngang,1cm,1135.49,1087.83,-738.43,0_0
3,5,0.3385,12280,41.3652,10000,ngang,1cm,891.73,858.29,-608.45,0_0
3,5,0.2661,12280,43.0442,15848.9319,ngang,1cm,690.28,668.84,-482.23,0_0
3,5,0.209,12280,43.4518,25118.8643,ngang,1cm,535.7,522.61,-375.13,0_0
3,5,0.164,12280,42.8088,39810.7171,ngang,1cm,416.44,408.77,-287.23,0_0
3,5,0.1303,12280,41.1364,63095.7344,ngang,1cm,328.58,324.16,-218.97,0_0
3,5,0.1051,12280,38.6069,100000,ngang,1cm,263.67,261.15,-166.46,0_0
3,5,0.0863,12280,35.643,158489.319,ngang,1cm,215.68,214.23,-127.04,0_0
3,5,0.0789,12280,34.0796,200000,ngang,1cm,196.89,195.78,-111.47,0_0
3,5,1.405,12280,36.2825,20,doc,1cm,4799.28,3963.44,-3262.36,1_0
3,5,1.2186,12280,34.7013,25.1188643,doc,1cm,3957.37,3436.2,-2586.83,1_0
3,5,1.0369,12280,31.5334,39.8107171,doc,1cm,3212.92,2927.36,-1931.68,1_0
3,5,0.907,12280,27.9061,63.0957344,doc,1cm,2721.22,2559.94,-1463.67,1_0
3,5,0.7953,12280,23.7499,100,doc,1cm,2322.71,2237.4,-1071.57,1_0
3,5,0.7281,12280,20.1195,158.489319,doc,1cm,2093.0,2043.2,-822.63,1_0
